Unnamed: 0,cd_instituic,cd_curso,sexo,ord_ingresso,cd_tip_est_sec,cd_hab_ant,cd_regime,idadeReal,trabalhadorEstudante,cd_inst_hab_ant,estado_civil,cd_cur_hab_ant,Ensino Basico Mae,Ensino Basico Pai,Ensino Secundário Mae,Ensino Secundário Pai,Ensino Superior Mae,Ensino Superior Pai,Ensino Outros Mae,Ensino Outros Pai,pais trabalham,Portugues,CNA,internacional,maiores 23,outros,1geracao,nota10-12,nota12-14,nota14-16,nota16-18,nota18-20,Abandono
811,1,1,1,1,1,1,0,20,0,305,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
812,1,1,0,1,1,1,0,21,1,110,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
813,1,1,1,1,1,1,0,20,0,310,1,0,1,1,1,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0
814,1,1,0,1,1,1,0,20,1,119,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
815,1,1,1,1,1,1,0,19,0,206,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
816,1,1,1,1,1,1,0,19,0,187,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
817,1,1,0,1,1,1,0,20,0,217,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
818,1,1,1,1,1,1,0,21,0,139,1,0,1,1,1,0,1,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0
819,1,1,1,1,1,1,0,21,1,199,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
820,1,1,1,1,1,1,0,21,0,122,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
821,1,1,1,1,1,1,0,19,0,120,1,0,1,1,1,1,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
822,1,1,0,1,1,1,0,19,0,78,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
823,1,1,1,1,1,1,0,19,1,313,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
824,1,1,1,1,1,1,0,43,1,305,2,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
825,1,1,1,1,1,1,0,26,0,118,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
826,1,1,1,1,1,31,0,23,0,59,1,140,1,1,0,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0
827,1,1,1,1,1,31,0,22,0,59,1,120,1,1,0,0,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,0,0
828,1,1,1,1,1,31,0,21,1,59,1,119,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
831,1,1,1,1,1,1,0,32,1,80,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
832,1,1,1,1,1,1,0,20,0,109,1,0,1,1,1,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0
833,1,1,0,1,1,1,0,19,0,73,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
834,0,2,0,1,1,1,2,26,1,1,1,0,1,1,1,1,0,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0
839,0,2,1,1,1,1,2,36,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
841,0,7,1,1,1,1,1,31,1,146,1,0,1,1,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0
842,1,1,1,1,2,1,0,19,0,340,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
843,1,13,0,1,2,1,0,19,0,288,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
844,0,19,0,1,1,1,0,19,0,340,1,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0
845,3,6,0,1,1,3,2,29,0,340,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
846,1,9,1,1,1,1,2,23,1,340,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
848,0,7,1,1,2,1,1,27,0,352,2,0,1,1,1,1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
851,3,4,1,1,1,1,0,20,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
854,0,16,0,1,2,1,0,20,1,316,1,0,1,1,1,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
